Number of Students,Academic Year,Dom Ireland GB,Isced Discipline,Institute New Combined,County
14,2018/2019,Ireland,(0512) Biochemistry,University College Dublin,Kilkenny
5,2018/2019,Ireland,(0512) Biochemistry,University of Limerick,Kilkenny
2,2018/2019,Ireland,(0520) Environment not further defined or elsewhere classified,University of Limerick,Kilkenny
2,2018/2019,Ireland,(0521) Environmental sciences,Cork IT,Kilkenny
1,2018/2019,Ireland,(0521) Environmental sciences,Dublin City University,Kilkenny
1,2018/2019,Ireland,(0521) Environmental sciences,Galway-Mayo IT,Kilkenny
1,2018/2019,Ireland,(0521) Environmental sciences,IT Carlow,Kilkenny
1,2018/2019,Ireland,(0521) Environmental sciences,"National University of Ireland, Galway",Kilkenny
4,2018/2019,Ireland,(0521) Environmental sciences,University College Cork,Kilkenny
7,2018/2019,Ireland,(0521) Environmental sciences,University College Dublin,Kilkenny
2,2018/2019,Ireland,(0521) Environmental sciences,University of Limerick,Kilkenny
10,2018/2019,Ireland,(0521) Environmental sciences,Waterford IT,Kilkenny
3,2018/2019,Ireland,(0522) Natural environments and wildlife,IT Tralee,Kilkenny
1,2018/2019,Ireland,(0522) Natural environments and wildlife,University College Dublin,Kilkenny
1,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Dublin City University,Kilkenny
2,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Maynooth University,Kilkenny
1,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Technological University Dublin,Kilkenny
14,2018/2019,Ireland,(0530) Physical sciences not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
6,2018/2019,Ireland,(0531) Chemistry,Dublin City University,Kilkenny
1,2018/2019,Ireland,(0531) Chemistry,IT Sligo,Kilkenny
1,2018/2019,Ireland,(0531) Chemistry,Limerick IT,Kilkenny
3,2018/2019,Ireland,(0531) Chemistry,Maynooth University,Kilkenny
2,2018/2019,Ireland,(0531) Chemistry,Technological University Dublin,Kilkenny
2,2018/2019,Ireland,(0531) Chemistry,Trinity College Dublin,Kilkenny
7,2018/2019,Ireland,(0531) Chemistry,University College Cork,Kilkenny
3,2018/2019,Ireland,(0531) Chemistry,University College Dublin,Kilkenny
9,2018/2019,Ireland,(0531) Chemistry,University of Limerick,Kilkenny
11,2018/2019,Ireland,(0531) Chemistry,Waterford IT,Kilkenny
4,2018/2019,Ireland,(0532) Earth sciences,Maynooth University,Kilkenny
1,2018/2019,Ireland,(0532) Earth sciences,"National University of Ireland, Galway",Kilkenny
1,2018/2019,Ireland,(0532) Earth sciences,Trinity College Dublin,Kilkenny
3,2018/2019,Ireland,(0532) Earth sciences,University College Cork,Kilkenny
4,2018/2019,Ireland,(0533) Physics,Cork IT,Kilkenny
1,2018/2019,Ireland,(0533) Physics,Galway-Mayo IT,Kilkenny
2,2018/2019,Ireland,(0533) Physics,Maynooth University,Kilkenny
3,2018/2019,Ireland,(0533) Physics,Technological University Dublin,Kilkenny
2,2018/2019,Ireland,(0533) Physics,Trinity College Dublin,Kilkenny
3,2018/2019,Ireland,(0533) Physics,University College Dublin,Kilkenny
1,2018/2019,Ireland,(0533) Physics,University of Limerick,Kilkenny
6,2018/2019,Ireland,(0533) Physics,Waterford IT,Kilkenny
1,2018/2019,Ireland,(0540) Mathematics and statistics not further defined or elsewhere classified,"National University of Ireland, Galway",Kilkenny
1,2018/2019,Ireland,(0540) Mathematics and statistics not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
6,2018/2019,Ireland,(0540) Mathematics and statistics not further defined or elsewhere classified,University College Cork,Kilkenny
3,2018/2019,Ireland,(0540) Mathematics and statistics not further defined or elsewhere classified,University of Limerick,Kilkenny
3,2018/2019,Ireland,(0541) Mathematics,Dublin City University,Kilkenny
5,2018/2019,Ireland,(0541) Mathematics,Maynooth University,Kilkenny
2,2018/2019,Ireland,(0541) Mathematics,"National University of Ireland, Galway",Kilkenny
2,2018/2019,Ireland,(0541) Mathematics,Technological University Dublin,Kilkenny
3,2018/2019,Ireland,(0541) Mathematics,Trinity College Dublin,Kilkenny
7,2018/2019,Ireland,(0541) Mathematics,University College Dublin,Kilkenny
1,2018/2019,Ireland,(0541) Mathematics,University of Limerick,Kilkenny
4,2018/2019,Ireland,(0542) Statistics,Dublin City University,Kilkenny
1,2018/2019,Ireland,(0542) Statistics,Trinity College Dublin,Kilkenny
12,2018/2019,Ireland,(0542) Statistics,University College Dublin,Kilkenny
7,2018/2019,Ireland,(0542) Statistics,University of Limerick,Kilkenny
13,2018/2019,Ireland,"(0588) Interdisciplinary programmes and qualifications involving natural sciences, mathematics and statistics",Maynooth University,Kilkenny
16,2018/2019,Ireland,"(0588) Interdisciplinary programmes and qualifications involving natural sciences, mathematics and statistics",University College Dublin,Kilkenny
3,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Dublin City University,Kilkenny
2,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,IT Carlow,Kilkenny
7,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Limerick IT,Kilkenny
7,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Maynooth University,Kilkenny
2,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Technological University Dublin,Kilkenny
4,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
13,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,University College Cork,Kilkenny
8,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,University of Limerick,Kilkenny
39,2018/2019,Ireland,(0610) Information and Communication Technologies (ICTs) not further defined or elsewhere classified,Waterford IT,Kilkenny
1,2018/2019,Ireland,(0611) Computer use,Cork IT,Kilkenny
3,2018/2019,Ireland,(0611) Computer use,Technological University Dublin,Kilkenny
1,2018/2019,Ireland,(0611) Computer use,University of Limerick,Kilkenny
6,2018/2019,Ireland,(0611) Computer use,Waterford IT,Kilkenny
32,2018/2019,Ireland,(0612) Database and network design and administration,IT Carlow,Kilkenny
1,2018/2019,Ireland,(0612) Database and network design and administration,Letterkenny IT,Kilkenny
1,2018/2019,Ireland,(0612) Database and network design and administration,Limerick IT,Kilkenny
2,2018/2019,Ireland,(0613) Software and applications development and analysis,Athlone IT,Kilkenny
3,2018/2019,Ireland,(0613) Software and applications development and analysis,Cork IT,Kilkenny
4,2018/2019,Ireland,(0613) Software and applications development and analysis,Dublin City University,Kilkenny
2,2018/2019,Ireland,(0613) Software and applications development and analysis,Dundalk IT,Kilkenny
9,2018/2019,Ireland,(0613) Software and applications development and analysis,IT Carlow,Kilkenny
5,2018/2019,Ireland,(0613) Software and applications development and analysis,Limerick IT,Kilkenny
2,2018/2019,Ireland,(0613) Software and applications development and analysis,Technological University Dublin,Kilkenny
1,2018/2019,Ireland,(0613) Software and applications development and analysis,Trinity College Dublin,Kilkenny
11,2018/2019,Ireland,(0613) Software and applications development and analysis,University College Dublin,Kilkenny
11,2018/2019,Ireland,(0613) Software and applications development and analysis,University of Limerick,Kilkenny
14,2018/2019,Ireland,(0613) Software and applications development and analysis,Waterford IT,Kilkenny
3,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Cork IT,Kilkenny
3,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Dublin City University,Kilkenny
5,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,IT Carlow,Kilkenny
5,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,"National University of Ireland, Galway",Kilkenny
4,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Technological University Dublin,Kilkenny
8,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Trinity College Dublin,Kilkenny
12,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,University College Cork,Kilkenny
29,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,University College Dublin,Kilkenny
12,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,University of Limerick,Kilkenny
6,2018/2019,Ireland,(0710) Engineering and engineering trades not further defined or elsewhere classified,Waterford IT,Kilkenny
2,2018/2019,Ireland,(0711) Chemical engineering and processes,Cork IT,Kilkenny
1,2018/2019,Ireland,(0711) Chemical engineering and processes,Technological University Dublin,Kilkenny
5,2018/2019,Ireland,(0711) Chemical engineering and processes,University College Cork,Kilkenny
11,2018/2019,Ireland,(0711) Chemical engineering and processes,University College Dublin,Kilkenny
2,2018/2019,Ireland,(0712) Environmental protection technology,IT Carlow,Kilkenny
1,2018/2019,Ireland,(0713) Electricity and energy,Galway-Mayo IT,Kilkenny
2,2018/2019,Ireland,(0713) Electricity and energy,IT Carlow,Kilkenny
2,2018/2019,Ireland,(0713) Electricity and energy,Limerick IT,Kilkenny
1,2018/2019,Ireland,(0713) Electricity and energy,"National University of Ireland, Galway",Kilkenny
2,2018/2019,Ireland,(0713) Electricity and energy,Technological University Dublin,Kilkenny
10,2018/2019,Ireland,(0713) Electricity and energy,Waterford IT,Kilkenny
1,2018/2019,Ireland,(0714) Electronics and automation,Cork IT,Kilkenny
4,2018/2019,Ireland,(0714) Electronics and automation,Dublin City University,Kilkenny
12,2018/2019,Ireland,(0714) Electronics and automation,IT Carlow,Kilkenny
1,2018/2019,Ireland,(0714) Electronics and automation,Maynooth University,Kilkenny
2,2018/2019,Ireland,(0714) Electronics and automation,"National University of Ireland, Galway",Kilkenny
2,2018/2019,Ireland,(0714) Electronics and automation,Technological University Dublin,Kilkenny
2,2018/2019,Ireland,(0714) Electronics and automation,University College Dublin,Kilkenny
3,2018/2019,Ireland,(0714) Electronics and automation,University of Limerick,Kilkenny
28,2018/2019,Ireland,(0714) Electronics and automation,Waterford IT,Kilkenny
7,2018/2019,Ireland,(0715) Mechanics and metal trades,Cork IT,Kilkenny
3,2018/2019,Ireland,(0715) Mechanics and metal trades,Galway-Mayo IT,Kilkenny
13,2018/2019,Ireland,(0715) Mechanics and metal trades,IT Carlow,Kilkenny
4,2018/2019,Ireland,(0715) Mechanics and metal trades,Technological University Dublin,Kilkenny
12,2018/2019,Ireland,(0715) Mechanics and metal trades,University College Dublin,Kilkenny
5,2018/2019,Ireland,(0715) Mechanics and metal trades,University of Limerick,Kilkenny
2,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",Cork IT,Kilkenny
7,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",IT Carlow,Kilkenny
4,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",Limerick IT,Kilkenny
1,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",Technological University Dublin,Kilkenny
3,2018/2019,Ireland,"(0716) Motor vehicles, ships and aircraft",University of Limerick,Kilkenny
1,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,Cork IT,Kilkenny
1,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,Dublin City University,Kilkenny
1,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,Galway-Mayo IT,Kilkenny
1,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,Limerick IT,Kilkenny
2,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,Technological University Dublin,Kilkenny
1,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,University College Cork,Kilkenny
9,2018/2019,Ireland,(0720) Manufacturing and processing not further defined or elsewhere classified,University of Limerick,Kilkenny
2,2018/2019,Ireland,(0721) Food processing,"St. Angela's College of Home Economics, Sligo",Kilkenny
4,2018/2019,Ireland,(0721) Food processing,Technological University Dublin,Kilkenny
9,2018/2019,Ireland,(0721) Food processing,University College Cork,Kilkenny
13,2018/2019,Ireland,(0721) Food processing,University of Limerick,Kilkenny
1,2018/2019,Ireland,"(0722) Materials (glass, paper, plastic and wood)",Technological University Dublin,Kilkenny
6,2018/2019,Ireland,"(0722) Materials (glass, paper, plastic and wood)",University of Limerick,Kilkenny
2,2018/2019,Ireland,"(0722) Materials (glass, paper, plastic and wood)",Waterford IT,Kilkenny
11,2018/2019,Ireland,(0730) Architecture and construction not further defined or elsewhere classified,IT Carlow,Kilkenny
3,2018/2019,Ireland,(0730) Architecture and construction not further defined or elsewhere classified,Technological University Dublin,Kilkenny
5,2018/2019,Ireland,(0730) Architecture and construction not further defined or elsewhere classified,University College Cork,Kilkenny
1,2018/2019,Ireland,(0730) Architecture and construction not further defined or elsewhere classified,Waterford IT,Kilkenny
7,2018/2019,Ireland,(0731) Architecture and town planning,Cork IT,Kilkenny
3,2018/2019,Ireland,(0731) Architecture and town planning,IT Carlow,Kilkenny
15,2018/2019,Ireland,(0731) Architecture and town planning,Technological University Dublin,Kilkenny
10,2018/2019,Ireland,(0731) Architecture and town planning,University College Dublin,Kilkenny
6,2018/2019,Ireland,(0731) Architecture and town planning,University of Limerick,Kilkenny
17,2018/2019,Ireland,(0731) Architecture and town planning,Waterford IT,Kilkenny
12,2018/2019,Ireland,(0732) Building and civil engineering,Cork IT,Kilkenny
1,2018/2019,Ireland,(0732) Building and civil engineering,Dundalk IT,Kilkenny
8,2018/2019,Ireland,(0732) Building and civil engineering,IT Carlow,Kilkenny
7,2018/2019,Ireland,(0732) Building and civil engineering,Limerick IT,Kilkenny
6,2018/2019,Ireland,(0732) Building and civil engineering,Technological University Dublin,Kilkenny
